COLUMN 1 - Plot 0	COLUMN 2 - Plot 0
-5	-3.05E-07
-4.8	-2.93E-07
-4.6	-2.78E-07
-4.4	-2.64E-07
-4.2	-2.49E-07
-4	-2.35E-07
-3.8	-2.20E-07
-3.6	-2.06E-07
-3.4	-1.93E-07
-3.2	-1.79E-07
-3	-1.66E-07
-2.8	-1.53E-07
-2.6	-1.40E-07
-2.4	-1.28E-07
-2.2	-1.16E-07
-2	-1.04E-07
-1.8	-9.22E-08
-1.6	-8.09E-08
-1.4	-6.98E-08
-1.2	-5.90E-08
-1	-4.85E-08
-0.8	-3.83E-08
-0.6	-2.83E-08
-0.4	-1.86E-08
-0.2	-9.20E-09
0	1.98E-11
0.2	8.99E-09
0.4	1.77E-08
0.6	2.65E-08
0.8	3.48E-08
1	4.29E-08
1.2	5.08E-08
1.4	5.85E-08
1.6	6.60E-08
1.8	7.33E-08
2	8.03E-08
2.2	8.72E-08
2.4	9.38E-08
2.6	1.00E-07
2.8	1.06E-07
3	1.13E-07
3.2	1.18E-07
3.4	1.24E-07
3.6	1.30E-07
3.8	1.35E-07
4	1.40E-07
4.2	1.45E-07
4.4	1.49E-07
4.6	1.54E-07
4.8	1.58E-07
5	1.62E-07
5.2	1.66E-07
5.4	1.70E-07
5.6	1.73E-07
5.8	1.77E-07
6	1.80E-07
6.2	1.83E-07
6.4	1.86E-07
6.6	1.89E-07
6.8	1.91E-07
7	1.94E-07
7.2	1.96E-07
7.4	1.98E-07
7.6	2.00E-07
7.8	2.02E-07
8	2.04E-07
8.2	2.05E-07
8.4	2.07E-07
8.6	2.08E-07
8.8	2.10E-07
9	2.11E-07
9.2	2.12E-07
9.4	2.13E-07
9.6	2.14E-07
9.8	2.15E-07
10	2.15E-07
10.2	2.16E-07
10.4	2.17E-07
10.6	2.17E-07
10.8	2.18E-07
11	2.19E-07
11.2	2.19E-07
11.4	2.20E-07
11.6	2.20E-07
11.8	2.20E-07
12	2.21E-07
12.2	2.21E-07
12.4	2.21E-07
12.6	2.22E-07
12.8	2.22E-07
13	2.22E-07
13.2	2.23E-07
13.4	2.23E-07
13.6	2.23E-07
13.8	2.23E-07
14	2.24E-07
14.2	2.24E-07
14.4	2.24E-07
14.6	2.24E-07
14.8	2.25E-07
15	2.25E-07
15.2	2.25E-07
15.4	2.25E-07
15.6	2.26E-07
15.8	2.26E-07
16	2.26E-07
16.2	2.26E-07
16.4	2.26E-07
16.6	2.27E-07
16.8	2.27E-07
17	2.27E-07
17.2	2.27E-07
17.4	2.27E-07
17.6	2.28E-07
17.8	2.28E-07
18	2.28E-07
18.2	2.28E-07
18.4	2.28E-07
18.6	2.29E-07
18.8	2.29E-07
19	2.29E-07
19.2	2.29E-07
19.4	2.29E-07
19.6	2.30E-07
19.8	2.30E-07
20	2.30E-07
-5	-3.78E-07
-4.8	-3.65E-07
-4.6	-3.47E-07
-4.4	-3.29E-07
-4.2	-3.11E-07
-4	-2.94E-07
-3.8	-2.76E-07
-3.6	-2.59E-07
-3.4	-2.42E-07
-3.2	-2.26E-07
-3	-2.09E-07
-2.8	-1.93E-07
-2.6	-1.78E-07
-2.4	-1.62E-07
-2.2	-1.47E-07
-2	-1.32E-07
-1.8	-1.17E-07
-1.6	-1.03E-07
-1.4	-8.94E-08
-1.2	-7.57E-08
-1	-6.24E-08
-0.8	-4.94E-08
-0.6	-3.66E-08
-0.4	-2.41E-08
-0.2	-1.19E-08
0	5.41E-12
0.2	1.16E-08
0.4	2.32E-08
0.6	3.44E-08
0.8	4.53E-08
1	5.61E-08
1.2	6.65E-08
1.4	7.68E-08
1.6	8.68E-08
1.8	9.67E-08
2	1.06E-07
2.2	1.16E-07
2.4	1.25E-07
2.6	1.34E-07
2.8	1.42E-07
3	1.51E-07
3.2	1.59E-07
3.4	1.67E-07
3.6	1.75E-07
3.8	1.82E-07
4	1.90E-07
4.2	1.97E-07
4.4	2.04E-07
4.6	2.10E-07
4.8	2.17E-07
5	2.23E-07
5.2	2.29E-07
5.4	2.35E-07
5.6	2.41E-07
5.8	2.46E-07
6	2.51E-07
6.2	2.56E-07
6.4	2.61E-07
6.6	2.66E-07
6.8	2.70E-07
7	2.74E-07
7.2	2.78E-07
7.4	2.82E-07
7.6	2.86E-07
7.8	2.89E-07
8	2.93E-07
8.2	2.96E-07
8.4	2.99E-07
8.6	3.02E-07
8.8	3.04E-07
9	3.07E-07
9.2	3.09E-07
9.4	3.11E-07
9.6	3.13E-07
9.8	3.15E-07
10	3.17E-07
10.2	3.19E-07
10.4	3.21E-07
10.6	3.22E-07
10.8	3.23E-07
11	3.25E-07
11.2	3.26E-07
11.4	3.27E-07
11.6	3.28E-07
11.8	3.29E-07
12	3.30E-07
12.2	3.30E-07
12.4	3.31E-07
12.6	3.32E-07
12.8	3.32E-07
13	3.33E-07
13.2	3.33E-07
13.4	3.34E-07
13.6	3.34E-07
13.8	3.35E-07
14	3.35E-07
14.2	3.35E-07
14.4	3.36E-07
14.6	3.36E-07
14.8	3.36E-07
15	3.36E-07
15.2	3.37E-07
15.4	3.37E-07
15.6	3.37E-07
15.8	3.37E-07
16	3.38E-07
16.2	3.38E-07
16.4	3.38E-07
16.6	3.38E-07
16.8	3.38E-07
17	3.39E-07
17.2	3.39E-07
17.4	3.39E-07
17.6	3.39E-07
17.8	3.39E-07
18	3.39E-07
18.2	3.40E-07
18.4	3.40E-07
18.6	3.40E-07
18.8	3.40E-07
19	3.40E-07
19.2	3.41E-07
19.4	3.41E-07
19.6	3.41E-07
19.8	3.41E-07
20	3.41E-07
-5	-4.47E-07
-4.8	-4.32E-07
-4.6	-4.12E-07
-4.4	-3.91E-07
-4.2	-3.71E-07
-4	-3.50E-07
-3.8	-3.30E-07
-3.6	-3.10E-07
-3.4	-2.90E-07
-3.2	-2.70E-07
-3	-2.51E-07
-2.8	-2.32E-07
-2.6	-2.14E-07
-2.4	-1.95E-07
-2.2	-1.77E-07
-2	-1.60E-07
-1.8	-1.42E-07
-1.6	-1.25E-07
-1.4	-1.08E-07
-1.2	-9.21E-08
-1	-7.59E-08
-0.8	-6.02E-08
-0.6	-4.47E-08
-0.4	-2.95E-08
-0.2	-1.46E-08
0	5.81E-12
0.2	1.43E-08
0.4	2.85E-08
0.6	4.24E-08
0.8	5.60E-08
1	6.94E-08
1.2	8.25E-08
1.4	9.54E-08
1.6	1.08E-07
1.8	1.21E-07
2	1.33E-07
2.2	1.45E-07
2.4	1.57E-07
2.6	1.68E-07
2.8	1.79E-07
3	1.91E-07
3.2	2.01E-07
3.4	2.12E-07
3.6	2.22E-07
3.8	2.32E-07
4	2.42E-07
4.2	2.52E-07
4.4	2.61E-07
4.6	2.70E-07
4.8	2.79E-07
5	2.88E-07
5.2	2.96E-07
5.4	3.05E-07
5.6	3.13E-07
5.8	3.20E-07
6	3.28E-07
6.2	3.35E-07
6.4	3.42E-07
6.6	3.49E-07
6.8	3.56E-07
7	3.62E-07
7.2	3.68E-07
7.4	3.74E-07
7.6	3.80E-07
7.8	3.85E-07
8	3.91E-07
8.2	3.96E-07
8.4	4.01E-07
8.6	4.05E-07
8.8	4.10E-07
9	4.14E-07
9.2	4.18E-07
9.4	4.22E-07
9.6	4.26E-07
9.8	4.30E-07
10	4.33E-07
10.2	4.36E-07
10.4	4.39E-07
10.6	4.42E-07
10.8	4.45E-07
11	4.47E-07
11.2	4.50E-07
11.4	4.52E-07
11.6	4.54E-07
11.8	4.56E-07
12	4.58E-07
12.2	4.60E-07
12.4	4.62E-07
12.6	4.63E-07
12.8	4.65E-07
13	4.66E-07
13.2	4.67E-07
13.4	4.68E-07
13.6	4.69E-07
13.8	4.70E-07
14	4.71E-07
14.2	4.72E-07
14.4	4.73E-07
14.6	4.73E-07
14.8	4.74E-07
15	4.75E-07
15.2	4.75E-07
15.4	4.76E-07
15.6	4.76E-07
15.8	4.77E-07
16	4.77E-07
16.2	4.77E-07
16.4	4.78E-07
16.6	4.78E-07
16.8	4.78E-07
17	4.79E-07
17.2	4.79E-07
17.4	4.79E-07
17.6	4.79E-07
17.8	4.80E-07
18	4.80E-07
18.2	4.80E-07
18.4	4.80E-07
18.6	4.80E-07
18.8	4.81E-07
19	4.81E-07
19.2	4.81E-07
19.4	4.81E-07
19.6	4.81E-07
19.8	4.82E-07
20	4.82E-07
