COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-20	-1.93E-09
-19.8	-1.62E-09
-19.6	-1.43E-09
-19.4	-1.29E-09
-19.2	-1.17E-09
-19	-1.07E-09
-18.8	-9.85E-10
-18.6	-9.11E-10
-18.4	-8.49E-10
-18.2	-8.00E-10
-18	-7.55E-10
-17.8	-7.14E-10
-17.6	-6.77E-10
-17.4	-6.40E-10
-17.2	-6.05E-10
-17	-5.69E-10
-16.8	-5.35E-10
-16.6	-5.01E-10
-16.4	-4.67E-10
-16.2	-4.34E-10
-16	-4.00E-10
-15.8	-3.76E-10
-15.6	-3.31E-10
-15.4	-2.98E-10
-15.2	-2.67E-10
-15	-2.39E-10
-14.8	-2.12E-10
-14.6	-1.87E-10
-14.4	-1.65E-10
-14.2	-1.45E-10
-14	-1.27E-10
-13.8	-1.11E-10
-13.6	-9.67E-11
-13.4	-8.52E-11
-13.2	-7.47E-11
-13	-6.40E-11
-12.8	-5.68E-11
-12.6	-4.83E-11
-12.4	-4.32E-11
-12.2	-3.78E-11
-12	-3.16E-11
-11.8	-2.83E-11
-11.6	-2.47E-11
-11.4	-1.98E-11
-11.2	-1.80E-11
-11	-1.44E-11
-10.8	-1.32E-11
-10.6	-1.11E-11
-10.4	-7.76E-12
-10.2	-6.71E-12
-10	-4.86E-12
-9.8	-1.96E-12
-9.6	-1.13E-12
-9.4	1.58E-12
-9.2	2.67E-12
-9	4.59E-12
-8.8	7.04E-12
-8.6	8.40E-12
-8.4	1.02E-11
-8.2	1.29E-11
-8	1.42E-11
-7.8	1.65E-11
-7.6	1.80E-11
-7.4	1.45E-12
-7.2	1.50E-11
-7	1.89E-11
-6.8	2.21E-11
-6.6	2.36E-11
-6.4	2.56E-11
-6.2	2.79E-11
-6	2.91E-11
-5.8	3.06E-11
-5.6	3.27E-11
-5.4	3.36E-11
-5.2	3.54E-11
-5	3.64E-11
-4.8	3.77E-11
-4.6	3.91E-11
-4.4	4.00E-11
-4.2	4.13E-11
-4	4.27E-11
-3.8	4.35E-11
-3.6	4.49E-11
-3.4	4.56E-11
-3.2	4.67E-11
-3	4.81E-11
-2.8	4.87E-11
-2.6	4.97E-11
-2.4	5.06E-11
-2.2	5.11E-11
-2	5.22E-11
-1.8	5.29E-11
-1.6	5.38E-11
-1.4	5.45E-11
-1.2	5.51E-11
-1	5.56E-11
-0.8	5.66E-11
-0.6	5.73E-11
-0.4	5.83E-11
-0.2	5.88E-11
0	6.00E-11
0.2	6.01E-11
0.4	6.08E-11
0.6	6.17E-11
0.8	6.20E-11
1	6.29E-11
1.2	6.34E-11
1.4	6.39E-11
1.6	6.49E-11
1.8	6.55E-11
2	6.61E-11
2.2	6.68E-11
2.4	6.70E-11
2.6	6.78E-11
2.8	6.89E-11
3	6.92E-11
3.2	7.01E-11
3.4	7.05E-11
3.6	7.11E-11
3.8	7.23E-11
4	7.20E-11
4.2	7.23E-11
4.4	5.78E-11
4.6	5.29E-11
4.8	5.20E-11
5	5.00E-11
5.2	4.99E-11
5.4	4.80E-11
5.6	4.84E-11
5.8	4.68E-11
6	4.87E-11
6.2	4.65E-11
6.4	4.75E-11
6.6	4.64E-11
6.8	4.76E-11
7	4.70E-11
7.2	4.84E-11
7.4	4.74E-11
7.6	4.82E-11
7.8	4.70E-11
8	4.76E-11
8.2	4.72E-11
8.4	4.80E-11
8.6	4.81E-11
8.8	4.93E-11
9	4.85E-11
9.2	4.93E-11
9.4	4.94E-11
9.6	5.00E-11
9.8	4.98E-11
10	5.13E-11
10.2	5.05E-11
10.4	5.10E-11
10.6	5.05E-11
10.8	5.17E-11
11	5.13E-11
11.2	5.29E-11
11.4	5.11E-11
11.6	5.24E-11
11.8	5.27E-11
12	5.39E-11
12.2	5.32E-11
12.4	5.45E-11
12.6	5.40E-11
12.8	5.54E-11
13	5.49E-11
13.2	5.60E-11
13.4	5.53E-11
13.6	5.63E-11
13.8	5.59E-11
14	5.70E-11
14.2	5.67E-11
14.4	5.80E-11
14.6	5.75E-11
14.8	5.85E-11
15	5.88E-11
15.2	5.92E-11
15.4	5.88E-11
15.6	6.00E-11
15.8	5.94E-11
16	6.06E-11
16.2	5.97E-11
16.4	6.13E-11
16.6	6.07E-11
16.8	6.20E-11
17	6.16E-11
17.2	6.27E-11
17.4	6.21E-11
17.6	6.31E-11
17.8	6.28E-11
18	6.39E-11
18.2	6.39E-11
18.4	6.47E-11
18.6	6.39E-11
18.8	6.48E-11
19	6.46E-11
19.2	6.58E-11
19.4	6.54E-11
19.6	6.65E-11
19.8	6.61E-11
20	6.72E-11
20	6.18E-11
19.8	4.73E-11
19.6	3.89E-11
19.4	3.33E-11
19.2	2.81E-11
19	2.47E-11
18.8	2.05E-11
18.6	1.80E-11
18.4	1.49E-11
18.2	1.32E-11
18	1.01E-11
17.8	8.96E-12
17.6	6.09E-12
17.4	5.26E-12
17.2	2.71E-12
17	1.95E-12
16.8	-8.00E-14
16.6	-5.00E-13
16.4	-2.28E-12
16.2	-2.80E-12
16	-4.69E-12
15.8	-5.07E-12
15.6	-6.47E-12
15.4	-6.90E-12
15.2	-8.30E-12
15	-8.52E-12
14.8	-9.95E-12
14.6	-1.01E-11
14.4	-1.14E-11
14.2	-1.14E-11
14	-1.25E-11
13.8	-1.26E-11
13.6	-1.38E-11
13.4	-1.41E-11
13.2	-1.53E-11
13	-1.49E-11
12.8	-1.60E-11
12.6	-1.62E-11
12.4	-1.71E-11
12.2	-1.70E-11
12	-1.79E-11
11.8	-1.76E-11
11.6	-1.86E-11
11.4	-1.85E-11
11.2	-1.96E-11
11	-1.91E-11
10.8	-2.04E-11
10.6	-2.03E-11
10.4	-2.10E-11
10.2	-2.06E-11
10	-2.16E-11
9.8	-2.11E-11
9.6	-2.24E-11
9.4	-2.22E-11
9.2	-2.32E-11
9	-2.23E-11
8.8	-2.34E-11
8.6	-2.32E-11
8.4	-2.39E-11
8.2	-2.38E-11
8	-2.47E-11
7.8	-2.47E-11
7.6	-2.53E-11
7.4	-2.48E-11
7.2	-2.54E-11
7	-2.53E-11
6.8	-2.58E-11
6.6	-2.56E-11
6.4	-2.64E-11
6.2	-2.63E-11
6	-2.69E-11
5.8	-2.64E-11
5.6	-2.89E-11
5.4	-2.81E-11
5.2	-4.09E-11
5	-3.09E-11
4.8	-4.37E-11
