COLUMN 1 - Plot 0	COLUMN 2 - Plot 0
5	4.23E-07
4.8	4.03E-07
4.6	3.84E-07
4.4	3.65E-07
4.2	3.46E-07
4	3.27E-07
3.8	3.09E-07
3.6	2.90E-07
3.4	2.72E-07
3.2	2.54E-07
3	2.36E-07
2.8	2.18E-07
2.6	2.01E-07
2.4	1.84E-07
2.2	1.67E-07
2	1.50E-07
1.8	1.34E-07
1.6	1.17E-07
1.4	1.02E-07
1.2	8.60E-08
1	7.07E-08
0.8	5.58E-08
0.6	4.12E-08
0.4	2.70E-08
0.2	1.33E-08
0	0.26E+00
-0.2	-1.28E-08
-0.4	-2.52E-08
-0.6	-3.70E-08
-0.8	-4.83E-08
-1	-5.90E-08
-1.2	-6.91E-08
-1.4	-7.85E-08
-1.6	-8.74E-08
-1.8	-9.55E-08
-2	-1.03E-07
-2.2	-1.10E-07
-2.4	-1.16E-07
-2.6	-1.22E-07
-2.8	-1.26E-07
-3	-1.31E-07
-3.2	-1.35E-07
-3.4	-1.38E-07
-3.6	-1.41E-07
-3.8	-1.43E-07
-4	-1.46E-07
-4.2	-1.47E-07
-4.4	-1.49E-07
-4.6	-1.50E-07
-4.8	-1.51E-07
-5	-1.52E-07
-5.2	-1.53E-07
-5.4	-1.54E-07
-5.6	-1.54E-07
-5.8	-1.55E-07
-6	-1.55E-07
-6.2	-1.55E-07
-6.4	-1.56E-07
-6.6	-1.56E-07
-6.8	-1.56E-07
-7	-1.56E-07
-7.2	-1.57E-07
-7.4	-1.57E-07
-7.6	-1.57E-07
-7.8	-1.57E-07
-8	-1.57E-07
-8.2	-1.57E-07
-8.4	-1.57E-07
-8.6	-1.57E-07
-8.8	-1.58E-07
-9	-1.58E-07
-9.2	-1.58E-07
-9.4	-1.58E-07
-9.6	-1.58E-07
-9.8	-1.58E-07
-10	-1.58E-07
-10.2	-1.58E-07
-10.4	-1.58E-07
-10.6	-1.58E-07
-10.8	-1.58E-07
-11	-1.58E-07
-11.2	-1.59E-07
-11.4	-1.59E-07
-11.6	-1.59E-07
-11.8	-1.59E-07
-12	-1.59E-07
-12.2	-1.59E-07
-12.4	-1.59E-07
-12.6	-1.59E-07
-12.8	-1.59E-07
-13	-1.59E-07
-13.2	-1.59E-07
-13.4	-1.59E-07
-13.6	-1.59E-07
-13.8	-1.59E-07
-14	-1.60E-07
-14.2	-1.60E-07
-14.4	-1.60E-07
-14.6	-1.60E-07
-14.8	-1.60E-07
-15	-1.60E-07
-15.2	-1.60E-07
-15.4	-1.60E-07
-15.6	-1.60E-07
-15.8	-1.60E-07
-16	-1.60E-07
-16.2	-1.60E-07
-16.4	-1.60E-07
-16.6	-1.61E-07
-16.8	-1.61E-07
-17	-1.61E-07
-17.2	-1.61E-07
-17.4	-1.61E-07
-17.6	-1.61E-07
-17.8	-1.61E-07
-18	-1.61E-07
-18.2	-1.61E-07
-18.4	-1.61E-07
-18.6	-1.61E-07
-18.8	-1.61E-07
-19	-1.61E-07
-19.2	-1.61E-07
-19.4	-1.62E-07
-19.6	-1.62E-07
-19.8	-1.62E-07
-20	-1.62E-07
5	4.79E-07
4.8	4.58E-07
4.6	4.38E-07
4.4	4.17E-07
4.2	3.96E-07
4	3.76E-07
3.8	3.55E-07
3.6	3.35E-07
3.4	3.15E-07
3.2	2.95E-07
3	2.75E-07
2.8	2.56E-07
2.6	2.36E-07
2.4	2.17E-07
2.2	1.98E-07
2	1.79E-07
1.8	1.60E-07
1.6	1.42E-07
