COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
20	5.88E-10
19.8	4.47E-10
19.6	3.65E-10
19.4	3.12E-10
19.2	2.72E-10
19	2.43E-10
18.8	2.19E-10
18.6	2.00E-10
18.4	1.84E-10
18.2	1.70E-10
18	1.56E-10
17.8	1.45E-10
17.6	1.35E-10
17.4	1.26E-10
17.2	1.18E-10
17	1.11E-10
16.8	1.03E-10
16.6	9.60E-11
16.4	8.89E-11
16.2	8.22E-11
16	7.48E-11
15.8	6.75E-11
15.6	5.96E-11
15.4	5.20E-11
15.2	4.53E-11
15	4.24E-11
14.8	4.32E-11
14.6	4.38E-11
14.4	4.31E-11
14.2	4.24E-11
14	4.07E-11
13.8	3.96E-11
13.6	3.79E-11
13.4	3.67E-11
13.2	3.71E-11
13	3.51E-11
12.8	3.36E-11
12.6	3.21E-11
12.4	3.06E-11
12.2	2.98E-11
12	2.83E-11
11.8	2.73E-11
11.6	2.61E-11
11.4	2.52E-11
11.2	2.43E-11
11	2.33E-11
10.8	2.90E-11
10.6	2.36E-11
10.4	2.20E-11
10.2	2.07E-11
10	1.92E-11
9.8	1.84E-11
9.6	1.73E-11
9.4	1.69E-11
9.2	1.54E-11
9	1.52E-11
8.8	1.45E-11
8.6	1.35E-11
8.4	1.26E-11
8.2	1.21E-11
8	1.12E-11
7.8	1.01E-11
7.6	9.60E-12
7.4	1.60E-11
7.2	9.64E-12
7	7.28E-12
6.8	5.62E-12
6.6	4.55E-12
6.4	3.48E-12
6.2	2.34E-12
6	1.27E-12
5.8	5.70E-13
5.6	-4.10E-13
5.4	-1.11E-12
5.2	-2.11E-12
5	-3.03E-12
4.8	-3.94E-12
4.6	-5.37E-12
4.4	-6.27E-12
4.2	-7.06E-12
4	-8.03E-12
3.8	-8.91E-12
3.6	-1.02E-11
3.4	-1.13E-11
3.2	-1.26E-11
3	-1.35E-11
2.8	-1.47E-11
2.6	-1.62E-11
2.4	-1.79E-11
2.2	-1.93E-11
2	-2.13E-11
